Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Interceptions
Chase Williams,San Jose St.,630,2023-24,1,[3],['09/09/2023'],['Cal Poly'],[1.0]
Jay'Vion Cole,San Jose St.,630,2023-24,3,"[7, 8, 9]","['10/14/2023', '10/21/2023', '10/28/2023']","['New Mexico', 'Utah St.', 'Hawaii']","[1.0, 1.0, 1.0]"
Tre Jenkins,San Jose St.,630,2023-24,2,"[4, 11]","['09/16/2023', '11/18/2023']","['Toledo', 'San Diego St.']","[1.0, 1.0]"
Jordan Pollard,San Jose St.,630,2023-24,2,"[6, 8]","['10/07/2023', '10/21/2023']","['Boise St.', 'Utah St.']","[1.0, 1.0]"
Matthew Tago,San Jose St.,630,2023-24,1,[10],['11/11/2023'],['Fresno St.'],[1.0]
Michael Dansby,San Jose St.,630,2023-24,1,[10],['11/11/2023'],['Fresno St.'],[1.0]
Bryun Parham,San Jose St.,630,2023-24,1,[11],['11/18/2023'],['San Diego St.'],[1.0]
Andrew Jenkins,San Jose St.,630,2023-24,1,[9],['10/28/2023'],['Hawaii'],[1.0]
Maurice Strong Jr.,South Alabama,646,2023-24,1,[7],['10/17/2023'],['Southern Miss.'],[1.0]
Marquise Robinson,South Alabama,646,2023-24,3,"[3, 11, 13]","['09/16/2023', '11/18/2023', '12/23/2023']","['Oklahoma St.', 'Marshall', 'Eastern Mich.']","[1.0, 1.0, 1.0]"
Jaden Voisin,South Alabama,646,2023-24,4,"[5, 6, 10, 11]","['09/30/2023', '10/07/2023', '11/11/2023', '11/18/2023']","['James Madison', 'ULM', 'Arkansas St.', 'Marshall']","[1.0, 1.0, 1.0, 1.0]"
Wesley Miller,South Alabama,646,2023-24,1,[6],['10/07/2023'],['ULM'],[1.0]
Yam Banks,South Alabama,646,2023-24,1,[2],['09/09/2023'],['Southeastern La.'],[1.0]
Jalen Jordan,South Alabama,646,2023-24,2,"[11, 13]","['11/18/2023', '12/23/2023']","['Marshall', 'Eastern Mich.']","[1.0, 1.0]"
Khalil Jacobs,South Alabama,646,2023-24,1,[12],['11/25/2023'],['Texas St.'],[1.0]
Jalon Kilgore,South Carolina,648,2023-24,1,[5],['09/30/2023'],['Tennessee'],[1.0]
David Spaulding,South Carolina,648,2023-24,1,[4],['09/23/2023'],['Mississippi St.'],[1.0]
Stone Blanton,South Carolina,648,2023-24,1,[9],['11/04/2023'],['Jacksonville St.'],[1.0]
Nick Emmanwori,South Carolina,648,2023-24,2,"[11, 12]","['11/18/2023', '11/25/2023']","['Kentucky', 'Clemson']","[1.0, 1.0]"
O'Donnell Fortune,South Carolina,648,2023-24,2,"[1, 9]","['09/02/2023', '11/04/2023']","['North Carolina', 'Jacksonville St.']","[1.0, 1.0]"
Xzavier McLeod,South Carolina,648,2023-24,1,[2],['09/09/2023'],['Furman'],[1.0]
DQ Smith,South Carolina,648,2023-24,1,[5],['09/30/2023'],['Tennessee'],[1.0]
Kajuan Banks,South Carolina,648,2023-24,1,[1],['09/02/2023'],['North Carolina'],[1.0]
Jaelen Stokes,South Fla.,651,2023-24,2,"[2, 8]","['09/09/2023', '10/21/2023']","['Florida A&M', 'UConn']","[1.0, 1.0]"
Logan Berryhill,South Fla.,651,2023-24,2,"[2, 12]","['09/09/2023', '11/25/2023']","['Florida A&M', 'Charlotte']","[2.0, 1.0]"
Daquan Evans,South Fla.,651,2023-24,1,[12],['11/25/2023'],['Charlotte'],[1.0]
Braxton Clark,South Fla.,651,2023-24,1,[6],['10/07/2023'],['UAB'],[1.0]
Mac Harris,South Fla.,651,2023-24,1,[12],['11/25/2023'],['Charlotte'],[1.0]
Tavin Ward,South Fla.,651,2023-24,2,"[7, 13]","['10/14/2023', '12/21/2023']","['Fla. Atlantic', 'Syracuse']","[1.0, 1.0]"
Jacquez Williams,South Fla.,651,2023-24,1,[13],['12/21/2023'],['Syracuse'],[1.0]
Tramel Logan,South Fla.,651,2023-24,1,[10],['11/11/2023'],['Temple'],[1.0]
Aamaris Brown,South Fla.,651,2023-24,1,[10],['11/11/2023'],['Temple'],[2.0]
Calen Bullock,Southern California,657,2023-24,2,"[4, 8]","['09/23/2023', '10/21/2023']","['Arizona St.', 'Utah']","[1.0, 1.0]"
Jacobe Covington,Southern California,657,2023-24,1,[6],['10/07/2023'],['Arizona'],[1.0]
Christian Roland-Wallace,Southern California,657,2023-24,2,"[5, 10]","['09/30/2023', '11/04/2023']","['Colorado', 'Washington']","[1.0, 1.0]"
Max Williams,Southern California,657,2023-24,1,[3],['09/09/2023'],['Stanford'],[1.0]
Eric Gentry,Southern California,657,2023-24,1,[9],['10/28/2023'],['California'],[1.0]
Alexander Kilgore,SMU,663,2023-24,1,[14],['12/28/2023'],['Boston College'],[1.0]
Isaiah Nwokobia,SMU,663,2023-24,4,"[8, 9, 12, 13]","['10/28/2023', '11/04/2023', '11/25/2023', '12/02/2023']","['Tulsa', 'Rice', 'Navy', 'Tulane']","[1.0, 1.0, 1.0, 1.0]"
Jaelyn Davis-Robinson,SMU,663,2023-24,1,[8],['10/28/2023'],['Tulsa'],[1.0]
Chris Adimora,SMU,663,2023-24,1,[7],['10/20/2023'],['Temple'],[1.0]
Cale Sanders Jr.,SMU,663,2023-24,1,[5],['09/30/2023'],['Charlotte'],[1.0]
Kori Roberson Jr.,SMU,663,2023-24,1,[1],['09/02/2023'],['Louisiana Tech'],[1.0]
Kobe Wilson,SMU,663,2023-24,1,[9],['11/04/2023'],['Rice'],[1.0]
Jahari Rogers,SMU,663,2023-24,1,[10],['11/10/2023'],['North Texas'],[1.0]
Jonathan McGill,SMU,663,2023-24,1,[6],['10/12/2023'],['East Carolina'],[1.0]
Jay Jones,Southern Miss.,664,2023-24,1,[12],['11/25/2023'],['Troy'],[1.0]
Zay Franks,Southern Miss.,664,2023-24,1,[9],['11/04/2023'],['ULM'],[1.0]
MJ Daniels,Southern Miss.,664,2023-24,3,"[4, 7, 9]","['09/23/2023', '10/17/2023', '11/04/2023']","['Arkansas St.', 'South Alabama', 'ULM']","[1.0, 1.0, 1.0]"
Jay Stanley,Southern Miss.,664,2023-24,2,"[1, 8]","['09/02/2023', '10/28/2023']","['Alcorn', 'App State']","[2.0, 1.0]"
Hayes Maples,Southern Miss.,664,2023-24,1,[9],['11/04/2023'],['ULM'],[1.0]
Shawn Holton,Texas St.,670,2023-24,2,"[1, 13]","['09/02/2023', '12/26/2023']","['Baylor', 'Rice']","[1.0, 1.0]"
Brian Holloway,Texas St.,670,2023-24,3,"[5, 9, 13]","['09/30/2023', '11/04/2023', '12/26/2023']","['Southern Miss.', 'Ga. Southern', 'Rice']","[1.0, 1.0, 2.0]"
Bobby Crosby,Texas St.,670,2023-24,1,[13],['12/26/2023'],['Rice'],[1.0]
Tory Spears,Texas St.,670,2023-24,1,[3],['09/16/2023'],['Jackson St.'],[1.0]
Kaleb Ford-Dement,Texas St.,670,2023-24,3,"[4, 12, 13]","['09/23/2023', '11/25/2023', '12/26/2023']","['Nevada', 'South Alabama', 'Rice']","[1.0, 1.0, 1.0]"
Caleb Anderson,Louisiana,671,2023-24,1,[12],['11/25/2023'],['ULM'],[1.0]
Tyree Skipper,Louisiana,671,2023-24,3,"[4, 5, 13]","['09/16/2023', '09/23/2023', '12/16/2023']","['UAB', 'Buffalo', 'Jacksonville St.']","[1.0, 1.0, 1.0]"
Tyrone Lewis,Louisiana,671,2023-24,2,"[1, 8]","['09/30/2023', '10/28/2023']","['Minnesota', 'South Alabama']","[1.0, 2.0]"
Tyler Guidry,Louisiana,671,2023-24,1,[4],['09/16/2023'],['UAB'],[1.0]
Patrick Mensah,Louisiana,671,2023-24,1,[5],['09/23/2023'],['Buffalo'],[1.0]
Jalen Clark,Louisiana,671,2023-24,3,"[6, 12, 13]","['10/07/2023', '11/25/2023', '12/16/2023']","['Texas St.', 'ULM', 'Jacksonville St.']","[1.0, 1.0, 1.0]"
Keyon Martin,Louisiana,671,2023-24,1,[13],['12/16/2023'],['Jacksonville St.'],[1.0]
Spencer Jorgensen,Stanford,674,2023-24,1,[12],['11/25/2023'],['Notre Dame'],[1.0]
Scotty Edwards,Stanford,674,2023-24,2,"[3, 9]","['09/16/2023', '11/04/2023']","['Sacramento St.', 'Washington St.']","[1.0, 1.0]"
Zahran Manley,Stanford,674,2023-24,2,"[8, 11]","['10/28/2023', '11/18/2023']","['Washington', 'California']","[1.0, 1.0]"
Alaka'i Gilman,Stanford,674,2023-24,1,[6],['10/13/2023'],['Colorado'],[1.0]
Che Ojarikre,Stanford,674,2023-24,1,[12],['11/25/2023'],['Notre Dame'],[1.0]
Collin Wright,Stanford,674,2023-24,1,[3],['09/16/2023'],['Sacramento St.'],[1.0]
Justin Barron,Syracuse,688,2023-24,1,[4],['09/23/2023'],['Army West Point'],[1.0]
Jeremiah Wilson,Syracuse,688,2023-24,1,[2],['09/02/2023'],['Colgate'],[1.0]
Marlowe Wax,Syracuse,688,2023-24,1,[1],['09/16/2023'],['Purdue'],[1.0]
Jaeden Gould,Syracuse,688,2023-24,1,[4],['09/23/2023'],['Army West Point'],[1.0]
Jayden Bellamy,Syracuse,688,2023-24,1,[10],['11/11/2023'],['Pittsburgh'],[1.0]
Isaiah Johnson,Syracuse,688,2023-24,1,[11],['11/18/2023'],['Georgia Tech'],[1.0]
Jason Simmons Jr.,Syracuse,688,2023-24,2,"[3, 12]","['09/09/2023', '11/25/2023']","['Western Mich.', 'Wake Forest']","[1.0, 1.0]"
Greg Delaine,Syracuse,688,2023-24,1,[2],['09/02/2023'],['Colgate'],[1.0]
Jacob Hollins,Temple,690,2023-24,1,[12],['11/24/2023'],['Memphis'],[1.0]
Tywan Francis,Temple,690,2023-24,2,"[2, 10]","['09/02/2023', '11/11/2023']","['Akron', 'South Fla.']","[1.0, 1.0]"
James Pearce Jr.,Tennessee,694,2023-24,1,[13],['01/01/2024'],['Iowa'],[1.0]
Aaron Beasley,Tennessee,694,2023-24,1,[9],['11/04/2023'],['UConn'],[1.0]
Warren Burrell,Tennessee,694,2023-24,1,[4],['09/23/2023'],['UTSA'],[1.0]
Andre Turrentine,Tennessee,694,2023-24,1,[13],['01/01/2024'],['Iowa'],[1.0]
Tamarion McDonald,Tennessee,694,2023-24,1,[4],['09/23/2023'],['UTSA'],[1.0]
Jaylen McCollough,Tennessee,694,2023-24,3,"[7, 9, 10]","['10/21/2023', '11/04/2023', '11/11/2023']","['Alabama', 'UConn', 'Missouri']","[1.0, 1.0, 1.0]"
Gabe Jeudy-Lally,Tennessee,694,2023-24,1,[6],['10/14/2023'],['Texas A&M'],[1.0]
Kamal Hadden,Tennessee,694,2023-24,3,"[2, 5, 6]","['09/09/2023', '09/30/2023', '10/14/2023']","['Austin Peay', 'South Carolina', 'Texas A&M']","[1.0, 1.0, 1.0]"
Deuce Harmon,Texas A&M,697,2023-24,1,[10],['11/11/2023'],['Mississippi St.'],[1.0]
Jacoby Mathews,Texas A&M,697,2023-24,1,[10],['11/11/2023'],['Mississippi St.'],[1.0]
Tyreek Chappell,Texas A&M,697,2023-24,1,[10],['11/11/2023'],['Mississippi St.'],[1.0]
Sam Mathews,Texas A&M,697,2023-24,1,[13],['12/27/2023'],['Oklahoma St.'],[1.0]
Josh DeBerry,Texas A&M,697,2023-24,2,"[1, 7]","['09/02/2023', '10/14/2023']","['New Mexico', 'Tennessee']","[1.0, 1.0]"
Bryce Anderson,Texas A&M,697,2023-24,1,[6],['10/07/2023'],['Alabama'],[1.0]
Chris Russell Jr.,Texas A&M,697,2023-24,1,[5],['09/30/2023'],['Arkansas'],[1.0]
Dalton Brooks,Texas A&M,697,2023-24,1,[13],['12/27/2023'],['Oklahoma St.'],[1.0]
Bud Clark,TCU,698,2023-24,3,"[3, 4, 12]","['09/16/2023', '09/23/2023', '11/24/2023']","['Houston', 'SMU', 'Oklahoma']","[1.0, 1.0, 1.0]"
Josh Newton,TCU,698,2023-24,1,[4],['09/23/2023'],['SMU'],[1.0]
Vernon Glover,TCU,698,2023-24,1,[2],['09/09/2023'],['Nicholls'],[1.0]
Millard Bradford,TCU,698,2023-24,2,"[7, 10]","['10/14/2023', '11/11/2023']","['BYU', 'Texas']","[1.0, 1.0]"
Zach Marcheselli,TCU,698,2023-24,1,[3],['09/16/2023'],['Houston'],[1.0]
Tyrique Matthews,Texas Tech,700,2023-24,1,[13],['12/16/2023'],['California'],[1.0]
Ben Roberts,Texas Tech,700,2023-24,1,[4],['09/23/2023'],['West Virginia'],[1.0]
Malik Dunlap,Texas Tech,700,2023-24,2,"[3, 4]","['09/16/2023', '09/23/2023']","['Tarleton St.', 'West Virginia']","[2.0, 1.0]"
Jacob Rodriguez,Texas Tech,700,2023-24,1,[13],['12/16/2023'],['California'],[1.0]
CJ Baskerville,Texas Tech,700,2023-24,2,"[10, 13]","['11/18/2023', '12/16/2023']","['UCF', 'California']","[1.0, 1.0]"
Bralyn Lux,Texas Tech,700,2023-24,1,[11],['11/24/2023'],['Texas'],[1.0]
Dadrion Taylor-Demerson,Texas Tech,700,2023-24,3,"[3, 8, 9]","['09/16/2023', '11/02/2023', '11/11/2023']","['Tarleton St.', 'TCU', 'Kansas']","[1.0, 2.0, 1.0]"
Jaylan Ford,Texas,703,2023-24,2,"[1, 4]","['09/02/2023', '09/23/2023']","['Rice', 'Baylor']","[1.0, 1.0]"
Jett Bush,Texas,703,2023-24,1,[12],['11/24/2023'],['Texas Tech'],[1.0]
Jerrin Thompson,Texas,703,2023-24,3,"[2, 3, 11]","['09/09/2023', '09/16/2023', '11/18/2023']","['Alabama', 'Wyoming', 'Iowa St.']","[1.0, 1.0, 1.0]"
Malik Muhammad,Texas,703,2023-24,1,[12],['11/24/2023'],['Texas Tech'],[1.0]
Kitan Crawford,Texas,703,2023-24,1,[13],['12/02/2023'],['Oklahoma St.'],[1.0]
Austin Jordan,Texas,703,2023-24,1,[1],['09/02/2023'],['Rice'],[1.0]
Terrance Brooks,Texas,703,2023-24,3,"[8, 10, 12]","['10/28/2023', '11/11/2023', '11/24/2023']","['BYU', 'TCU', 'Texas Tech']","[1.0, 1.0, 1.0]"
Jahdae Barron,Texas,703,2023-24,1,[2],['09/09/2023'],['Alabama'],[1.0]
Michael Taaffe,Texas,703,2023-24,3,"[7, 8, 9]","['10/21/2023', '10/28/2023', '11/04/2023']","['Houston', 'BYU', 'Kansas St.']","[1.0, 1.0, 1.0]"
Torey Richardson,UTEP,704,2023-24,1,[7],['10/11/2023'],['FIU'],[1.0]
James Neal,UTEP,704,2023-24,1,[9],['10/25/2023'],['Sam Houston'],[1.0]
Oscar Moore,UTEP,704,2023-24,2,"[10, 11]","['11/04/2023', '11/18/2023']","['Western Ky.', 'Middle Tenn.']","[1.0, 1.0]"
Trez Moore,UTEP,704,2023-24,1,[3],['09/02/2023'],['UIW'],[1.0]
Praise Amaewhule,UTEP,704,2023-24,1,[5],['09/23/2023'],['UNLV'],[1.0]
Kameryn Alexander,UTSA,706,2023-24,2,"[6, 13]","['10/14/2023', '12/19/2023']","['UAB', 'Marshall']","[1.0, 1.0]"
Dywan Griffin,UTSA,706,2023-24,1,[11],['11/17/2023'],['South Fla.'],[1.0]
Nicktroy Fortune,UTSA,706,2023-24,2,"[7, 11]","['10/21/2023', '11/17/2023']","['Fla. Atlantic', 'South Fla.']","[1.0, 1.0]"
Elliott Davison,UTSA,706,2023-24,2,"[6, 8]","['10/14/2023', '10/28/2023']","['UAB', 'East Carolina']","[1.0, 1.0]"
Trey Moore,UTSA,706,2023-24,1,[9],['11/04/2023'],['North Texas'],[1.0]
Donyai Taylor,UTSA,706,2023-24,1,[9],['11/04/2023'],['North Texas'],[1.0]
Owen Pewee,UTSA,706,2023-24,1,[7],['10/21/2023'],['Fla. Atlantic'],[1.0]
Ronald Delancy III,Toledo,709,2023-24,1,[4],['09/23/2023'],['Western Mich.'],[1.0]
Chris McDonald Jr.,Toledo,709,2023-24,2,"[3, 9]","['09/16/2023', '10/31/2023']","['San Jose St.', 'Buffalo']","[1.0, 1.0]"
Maxen Hook,Toledo,709,2023-24,3,"[1, 7, 9]","['09/02/2023', '10/14/2023', '10/31/2023']","['Illinois', 'Ball St.', 'Buffalo']","[1.0, 1.0, 1.0]"
Nate Bauer,Toledo,709,2023-24,1,[2],['09/09/2023'],['Texas Southern'],[1.0]
Quinyon Mitchell,Toledo,709,2023-24,1,[10],['11/08/2023'],['Eastern Mich.'],[1.0]
Dallas Gant,Toledo,709,2023-24,1,[8],['10/21/2023'],['Miami (OH)'],[1.0]
Emmanuel McNeil-Warren,Toledo,709,2023-24,2,"[4, 6]","['09/23/2023', '10/07/2023']","['Western Mich.', 'Massachusetts']","[1.0, 1.0]"
Reddy Steward,Troy,716,2023-24,4,"[1, 2, 8, 9]","['09/02/2023', '09/09/2023', '10/28/2023', '11/02/2023']","['SFA', 'Kansas St.', 'Texas St.', 'South Alabama']","[1.0, 1.0, 1.0, 1.0]"
Irshaad Davis,Troy,716,2023-24,2,"[7, 11]","['10/14/2023', '11/18/2023']","['Army West Point', 'Louisiana']","[1.0, 1.0]"
Damaje Yancey,Troy,716,2023-24,1,[14],['12/23/2023'],['Duke'],[1.0]
Caleb Ransaw,Troy,716,2023-24,1,[5],['09/30/2023'],['Georgia St.'],[1.0]
Jordan Stringer,Troy,716,2023-24,1,[8],['10/28/2023'],['Texas St.'],[1.0]
O'shai Fletcher,Troy,716,2023-24,1,[5],['09/30/2023'],['Georgia St.'],[1.0]
Jesus Machado,Tulane,718,2023-24,1,[4],['09/23/2023'],['Nicholls'],[1.0]
