Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Pass Yards
263.0,41.0,Chevan Cordeiro,San Jose St.,630,2023-24,1,[6],['10/07/2023'],['Boise St.'],[325.0]
42.0,6.0,Carter Bradley,South Alabama,646,2023-24,3,"[6, 7, 8]","['10/07/2023', '10/17/2023', '10/28/2023']","['ULM', 'Southern Miss.', 'Louisiana']","[303.0, 319.0, 381.0]"
85.0,17.0,Spencer Rattler,South Carolina,648,2023-24,2,"[9, 10]","['11/04/2023', '11/11/2023']","['Jacksonville St.', 'Vanderbilt']","[399.0, 351.0]"
85.0,17.0,Byrum Brown,South Fla.,651,2023-24,2,"[9, 10]","['11/04/2023', '11/11/2023']","['Memphis', 'Temple']","[357.0, 316.0]"
85.0,17.0,Caleb Williams,Southern California,657,2023-24,2,"[9, 10]","['10/28/2023', '11/04/2023']","['California', 'Washington']","[369.0, 312.0]"
263.0,41.0,Miller Moss,Southern California,657,2023-24,1,[13],['12/27/2023'],['Louisville'],[372.0]
85.0,17.0,Preston Stone,SMU,663,2023-24,2,"[7, 8]","['10/20/2023', '10/28/2023']","['Temple', 'Tulsa']","[300.0, 371.0]"
85.0,17.0,TJ Finley,Texas St.,670,2023-24,2,"[11, 12]","['11/18/2023', '11/25/2023']","['Arkansas St.', 'South Alabama']","[366.0, 368.0]"
263.0,41.0,Ashton Daniels,Stanford,674,2023-24,1,[8],['10/28/2023'],['Washington'],[367.0]
85.0,17.0,E.J. Warner,Temple,690,2023-24,2,"[11, 12]","['11/18/2023', '11/24/2023']","['UAB', 'Memphis']","[323.0, 330.0]"
263.0,41.0,Joe Milton III,Tennessee,694,2023-24,1,[12],['11/25/2023'],['Vanderbilt'],[383.0]
85.0,17.0,Conner Weigman,Texas A&M,697,2023-24,2,"[2, 3]","['09/09/2023', '09/16/2023']","['Miami (FL)', 'ULM']","[336.0, 337.0]"
263.0,41.0,Marcel Reed,Texas A&M,697,2023-24,1,[13],['12/27/2023'],['Oklahoma St.'],[361.0]
263.0,41.0,Max Johnson,Texas A&M,697,2023-24,1,[9],['11/04/2023'],['Ole Miss'],[305.0]
22.0,2.0,Josh Hoover,TCU,698,2023-24,4,"[9, 10, 11, 12]","['11/02/2023', '11/11/2023', '11/18/2023', '11/24/2023']","['Texas Tech', 'Texas', 'Baylor', 'Oklahoma']","[353.0, 302.0, 412.0, 344.0]"
263.0,41.0,Chandler Morris,TCU,698,2023-24,1,[3],['09/16/2023'],['Houston'],[314.0]
263.0,41.0,Tyler Shough,Texas Tech,700,2023-24,1,[1],['09/02/2023'],['Wyoming'],[338.0]
85.0,17.0,Quinn Ewers,Texas,703,2023-24,2,"[13, 14]","['12/02/2023', '01/01/2024']","['Oklahoma St.', 'Washington']","[452.0, 318.0]"
263.0,41.0,Cade McConnell,UTEP,704,2023-24,1,[11],['11/18/2023'],['Middle Tenn.'],[364.0]
263.0,41.0,Frank Harris,UTSA,706,2023-24,1,[11],['11/17/2023'],['South Fla.'],[411.0]
263.0,41.0,Dequan Finn,Toledo,709,2023-24,1,[10],['11/08/2023'],['Eastern Mich.'],[407.0]
85.0,17.0,Gunnar Watson,Troy,716,2023-24,2,"[3, 4]","['09/16/2023', '09/23/2023']","['James Madison', 'Western Ky.']","[333.0, 349.0]"
263.0,41.0,Kirk Francis,Tulsa,719,2023-24,1,[10],['11/11/2023'],['Tulane'],[345.0]
85.0,17.0,Cooper Legas,Utah St.,731,2023-24,2,"[5, 6]","['10/07/2023', '10/13/2023']","['Colorado St.', 'Fresno St.']","[387.0, 363.0]"
263.0,41.0,McCae Hillstead,Utah St.,731,2023-24,1,[3],['09/23/2023'],['James Madison'],[399.0]
263.0,41.0,Bryson Barnes,Utah,732,2023-24,1,[11],['11/18/2023'],['Arizona'],[320.0]
85.0,17.0,AJ Swann,Vanderbilt,736,2023-24,2,"[3, 4]","['09/09/2023', '09/16/2023']","['Wake Forest', 'UNLV']","[314.0, 335.0]"
263.0,41.0,Kyron Drones,Virginia Tech,742,2023-24,1,[7],['10/14/2023'],['Wake Forest'],[321.0]
263.0,41.0,Anthony Colandrea,Virginia,746,2023-24,1,[10],['11/09/2023'],['Louisville'],[314.0]
263.0,41.0,Mitch Griffis,Wake Forest,749,2023-24,1,[3],['09/16/2023'],['Old Dominion'],[312.0]
42.0,6.0,Cameron Ward,Washington St.,754,2023-24,3,"[2, 3, 4]","['09/02/2023', '09/16/2023', '09/23/2023']","['Colorado St.', 'Northern Colo.', 'Oregon St.']","[451.0, 327.0, 404.0]"
14.0,1.0,Michael Penix Jr.,Washington,756,2023-24,5,"[1, 2, 3, 4, 5]","['09/02/2023', '09/09/2023', '09/23/2023', '09/30/2023', '10/14/2023']","['Boise St.', 'Tulsa', 'California', 'Arizona', 'Oregon']","[450.0, 409.0, 304.0, 363.0, 302.0]"
263.0,41.0,Garrett Greene,West Virginia,768,2023-24,1,[5],['10/12/2023'],['Houston'],[391.0]
263.0,41.0,Austin Reed,Western Ky.,772,2023-24,1,[11],['11/18/2023'],['Sam Houston'],[392.0]
263.0,41.0,Caden Veltkamp,Western Ky.,772,2023-24,1,[13],['12/18/2023'],['Old Dominion'],[383.0]
263.0,41.0,Hayden Wolff,Western Mich.,774,2023-24,1,[10],['11/07/2023'],['Central Mich.'],[333.0]
263.0,41.0,Treyson Bourguet,Western Mich.,774,2023-24,1,[5],['09/30/2023'],['Ball St.'],[328.0]
263.0,41.0,Tanner Mordecai,Wisconsin,796,2023-24,1,[13],['01/01/2024'],['LSU'],[378.0]
263.0,41.0,Andrew Peasley,Wyoming,811,2023-24,1,[11],['11/18/2023'],['Hawaii'],[319.0]
263.0,41.0,Kaidon Salter,Liberty,355,2023-24,1,[13],['12/01/2023'],['New Mexico St.'],[319.0]
263.0,41.0,Jacob Zeno,UAB,9,2023-24,1,[9],['11/04/2023'],['Fla. Atlantic'],[484.0]
263.0,41.0,Jalen Milroe,Alabama,8,2023-24,1,[6],['10/07/2023'],['Texas A&M'],[321.0]
85.0,17.0,Joey Aguilar,App State,27,2023-24,2,"[5, 6]","['09/30/2023', '10/10/2023']","['ULM', 'Coastal Carolina']","[335.0, 305.0]"
85.0,17.0,Trenton Bourguet,Arizona St.,28,2023-24,2,"[5, 6]","['09/30/2023', '10/07/2023']","['California', 'Colorado']","[344.0, 335.0]"
263.0,41.0,Jayden de Laura,Arizona,29,2023-24,1,[2],['09/09/2023'],['Mississippi St.'],[342.0]
85.0,17.0,Noah Fifita,Arizona,29,2023-24,2,"[12, 13]","['11/25/2023', '12/28/2023']","['Arizona St.', 'Oklahoma']","[527.0, 354.0]"
263.0,41.0,Jaylen  Raynor,Arkansas St.,30,2023-24,1,[7],['10/21/2023'],['Coastal Carolina'],[306.0]
263.0,41.0,Layne Hatcher,Ball St.,47,2023-24,1,[5],['09/30/2023'],['Western Mich.'],[316.0]
85.0,17.0,Blake Shapen,Baylor,51,2023-24,2,"[6, 7]","['10/07/2023', '10/21/2023']","['Texas Tech', 'Cincinnati']","[324.0, 316.0]"
263.0,41.0,Thomas Castellanos,Boston College,67,2023-24,1,[3],['09/16/2023'],['Florida St.'],[305.0]
263.0,41.0,Connor Bazelak,Bowling Green,71,2023-24,1,[2],['09/09/2023'],['Eastern Ill.'],[319.0]
263.0,41.0,Kedon Slovis,BYU,77,2023-24,1,[4],['09/23/2023'],['Kansas'],[357.0]
263.0,41.0,Mikey Keene,Fresno St.,96,2023-24,1,[13],['12/16/2023'],['New Mexico St.'],[380.0]
263.0,41.0,Timmy McClain,UCF,128,2023-24,1,[3],['09/16/2023'],['Villanova'],[321.0]
263.0,41.0,Emory Jones,Cincinnati,140,2023-24,1,[1],['09/02/2023'],['Eastern Ky.'],[345.0]
263.0,41.0,Cade Klubnik,Clemson,147,2023-24,1,[7],['10/21/2023'],['Miami (FL)'],[314.0]
263.0,41.0,Grayson McCall,Coastal Carolina,149,2023-24,1,[6],['10/10/2023'],['App State'],[373.0]
42.0,6.0,Brayden Fowler-Nicolosi,Colorado St.,156,2023-24,3,"[2, 3, 4]","['09/16/2023', '09/23/2023', '09/30/2023']","['Colorado', 'Middle Tenn.', 'Utah Tech']","[367.0, 321.0, 462.0]"
42.0,6.0,Shedeur Sanders,Colorado,157,2023-24,3,"[1, 2, 3]","['09/09/2023', '09/02/2023', '09/16/2023']","['Nebraska', 'TCU', 'Colorado St.']","[393.0, 510.0, 348.0]"
263.0,41.0,Daniel Richardson,Fla. Atlantic,229,2023-24,1,[6],['10/14/2023'],['South Fla.'],[382.0]
85.0,17.0,Jordan Travis,Florida St.,234,2023-24,2,"[8, 9]","['10/28/2023', '11/04/2023']","['Wake Forest', 'Pittsburgh']","[359.0, 360.0]"
263.0,41.0,Graham Mertz,Florida,235,2023-24,1,[10],['11/11/2023'],['LSU'],[311.0]
42.0,6.0,Davis Brin,Ga. Southern,253,2023-24,3,"[3, 4, 5]","['09/09/2023', '09/23/2023', '09/30/2023']","['UAB', 'Ball St.', 'Coastal Carolina']","[318.0, 344.0, 322.0]"
263.0,41.0,Darren Grainger,Georgia St.,254,2023-24,1,[3],['09/16/2023'],['Charlotte'],[466.0]
263.0,41.0,Haynes King,Georgia Tech,255,2023-24,1,[5],['09/30/2023'],['Bowling Green'],[348.0]
42.0,6.0,Carson Beck,Georgia,257,2023-24,3,"[4, 5, 6]","['09/23/2023', '09/30/2023', '10/07/2023']","['UAB', 'Auburn', 'Kentucky']","[338.0, 313.0, 389.0]"
42.0,6.0,Brayden Schager,Hawaii,277,2023-24,3,"[6, 7, 8]","['09/30/2023', '10/14/2023', '10/21/2023']","['UNLV', 'San Diego St.', 'New Mexico']","[313.0, 427.0, 345.0]"
263.0,41.0,Donovan Smith,Houston,288,2023-24,1,[12],['09/30/2023'],['Texas Tech'],[336.0]
