Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Pass Yards
443.0,65.0,Chevan Cordeiro,San Jose St.,630,2023-24,1,[6],['10/07/2023'],['Boise St.'],[325.0]
168.0,29.0,Carter Bradley,South Alabama,646,2023-24,3,"[6, 7, 8]","['10/07/2023', '10/17/2023', '10/28/2023']","['ULM', 'Southern Miss.', 'Louisiana']","[303.0, 319.0, 381.0]"
75.0,12.0,Spencer Rattler,South Carolina,648,2023-24,5,"[1, 2, 6, 9, 10]","['09/02/2023', '09/09/2023', '10/14/2023', '11/04/2023', '11/11/2023']","['North Carolina', 'Furman', 'Florida', 'Jacksonville St.', 'Vanderbilt']","[353.0, 345.0, 313.0, 399.0, 351.0]"
113.0,24.0,Byrum Brown,South Fla.,651,2023-24,4,"[4, 5, 9, 10]","['09/23/2023', '09/30/2023', '11/04/2023', '11/11/2023']","['Rice', 'Navy', 'Memphis', 'Temple']","[435.0, 338.0, 357.0, 316.0]"
48.0,8.0,Caleb Williams,Southern California,657,2023-24,6,"[2, 4, 5, 9, 10, 12]","['09/02/2023', '09/23/2023', '09/30/2023', '10/28/2023', '11/04/2023', '11/18/2023']","['Nevada', 'Arizona St.', 'Colorado', 'California', 'Washington', 'UCLA']","[319.0, 322.0, 403.0, 369.0, 312.0, 384.0]"
443.0,65.0,Miller Moss,Southern California,657,2023-24,1,[13],['12/27/2023'],['Louisville'],[372.0]
113.0,24.0,Preston Stone,SMU,663,2023-24,4,"[3, 7, 8, 12]","['09/16/2023', '10/20/2023', '10/28/2023', '11/25/2023']","['Prairie View', 'Temple', 'Tulsa', 'Navy']","[300.0, 300.0, 371.0, 322.0]"
75.0,12.0,TJ Finley,Texas St.,670,2023-24,5,"[5, 6, 9, 11, 12]","['09/30/2023', '10/07/2023', '11/04/2023', '11/18/2023', '11/25/2023']","['Southern Miss.', 'Louisiana', 'Ga. Southern', 'Arkansas St.', 'South Alabama']","[338.0, 326.0, 301.0, 366.0, 368.0]"
269.0,46.0,Ashton Daniels,Stanford,674,2023-24,2,"[6, 8]","['10/13/2023', '10/28/2023']","['Colorado', 'Washington']","[396.0, 367.0]"
113.0,24.0,E.J. Warner,Temple,690,2023-24,4,"[6, 9, 11, 12]","['10/07/2023', '11/04/2023', '11/18/2023', '11/24/2023']","['UTSA', 'Navy', 'UAB', 'Memphis']","[472.0, 402.0, 323.0, 330.0]"
443.0,65.0,Joe Milton III,Tennessee,694,2023-24,1,[12],['11/25/2023'],['Vanderbilt'],[383.0]
269.0,46.0,Conner Weigman,Texas A&M,697,2023-24,2,"[2, 3]","['09/09/2023', '09/16/2023']","['Miami (FL)', 'ULM']","[336.0, 337.0]"
443.0,65.0,Marcel Reed,Texas A&M,697,2023-24,1,[13],['12/27/2023'],['Oklahoma St.'],[361.0]
443.0,65.0,Max Johnson,Texas A&M,697,2023-24,1,[9],['11/04/2023'],['Ole Miss'],[305.0]
75.0,12.0,Josh Hoover,TCU,698,2023-24,5,"[7, 9, 10, 11, 12]","['10/14/2023', '11/02/2023', '11/11/2023', '11/18/2023', '11/24/2023']","['BYU', 'Texas Tech', 'Texas', 'Baylor', 'Oklahoma']","[439.0, 353.0, 302.0, 412.0, 344.0]"
443.0,65.0,Chandler Morris,TCU,698,2023-24,1,[3],['09/16/2023'],['Houston'],[314.0]
443.0,65.0,Tyler Shough,Texas Tech,700,2023-24,1,[1],['09/02/2023'],['Wyoming'],[338.0]
48.0,8.0,Quinn Ewers,Texas,703,2023-24,6,"[2, 5, 6, 10, 13, 14]","['09/09/2023', '09/30/2023', '10/07/2023', '11/11/2023', '12/02/2023', '01/01/2024']","['Alabama', 'Kansas', 'Oklahoma', 'TCU', 'Oklahoma St.', 'Washington']","[349.0, 325.0, 346.0, 317.0, 452.0, 318.0]"
443.0,65.0,Cade McConnell,UTEP,704,2023-24,1,[11],['11/18/2023'],['Middle Tenn.'],[364.0]
168.0,29.0,Frank Harris,UTSA,706,2023-24,3,"[5, 8, 11]","['10/07/2023', '10/28/2023', '11/17/2023']","['Temple', 'East Carolina', 'South Fla.']","[338.0, 395.0, 411.0]"
443.0,65.0,Dequan Finn,Toledo,709,2023-24,1,[10],['11/08/2023'],['Eastern Mich.'],[407.0]
168.0,29.0,Gunnar Watson,Troy,716,2023-24,3,"[3, 4, 8]","['09/16/2023', '09/23/2023', '10/28/2023']","['James Madison', 'Western Ky.', 'Texas St.']","[333.0, 349.0, 398.0]"
443.0,65.0,Kirk Francis,Tulsa,719,2023-24,1,[10],['11/11/2023'],['Tulane'],[345.0]
269.0,46.0,Cooper Legas,Utah St.,731,2023-24,2,"[5, 6]","['10/07/2023', '10/13/2023']","['Colorado St.', 'Fresno St.']","[387.0, 363.0]"
443.0,65.0,McCae Hillstead,Utah St.,731,2023-24,1,[3],['09/23/2023'],['James Madison'],[399.0]
443.0,65.0,Bryson Barnes,Utah,732,2023-24,1,[11],['11/18/2023'],['Arizona'],[320.0]
269.0,46.0,AJ Swann,Vanderbilt,736,2023-24,2,"[3, 4]","['09/09/2023', '09/16/2023']","['Wake Forest', 'UNLV']","[314.0, 335.0]"
443.0,65.0,Kyron Drones,Virginia Tech,742,2023-24,1,[7],['10/14/2023'],['Wake Forest'],[321.0]
269.0,46.0,Anthony Colandrea,Virginia,746,2023-24,2,"[3, 10]","['09/09/2023', '11/09/2023']","['James Madison', 'Louisville']","[377.0, 314.0]"
269.0,46.0,Mitch Griffis,Wake Forest,749,2023-24,2,"[1, 3]","['08/31/2023', '09/16/2023']","['Elon', 'Old Dominion']","[329.0, 312.0]"
28.0,3.0,Cameron Ward,Washington St.,754,2023-24,7,"[2, 3, 4, 7, 8, 10, 12]","['09/02/2023', '09/16/2023', '09/23/2023', '10/21/2023', '10/28/2023', '11/11/2023', '11/25/2023']","['Colorado St.', 'Northern Colo.', 'Oregon St.', 'Oregon', 'Arizona St.', 'California', 'Washington']","[451.0, 327.0, 404.0, 438.0, 315.0, 354.0, 317.0]"
6.0,1.0,Michael Penix Jr.,Washington,756,2023-24,10,"[1, 2, 3, 4, 5, 7, 9, 12, 13, 15]","['09/02/2023', '09/09/2023', '09/23/2023', '09/30/2023', '10/14/2023', '10/28/2023', '11/11/2023', '09/16/2023', '12/01/2023', '01/01/2024']","['Boise St.', 'Tulsa', 'California', 'Arizona', 'Oregon', 'Stanford', 'Utah', 'Michigan St.', 'Oregon', 'Texas']","[450.0, 409.0, 304.0, 363.0, 302.0, 369.0, 332.0, 473.0, 319.0, 430.0]"
443.0,65.0,Garrett Greene,West Virginia,768,2023-24,1,[5],['10/12/2023'],['Houston'],[391.0]
168.0,29.0,Austin Reed,Western Ky.,772,2023-24,3,"[2, 8, 11]","['09/02/2023', '10/24/2023', '11/18/2023']","['South Fla.', 'Liberty', 'Sam Houston']","[336.0, 381.0, 392.0]"
443.0,65.0,Caden Veltkamp,Western Ky.,772,2023-24,1,[13],['12/18/2023'],['Old Dominion'],[383.0]
443.0,65.0,Hayden Wolff,Western Mich.,774,2023-24,1,[10],['11/07/2023'],['Central Mich.'],[333.0]
443.0,65.0,Treyson Bourguet,Western Mich.,774,2023-24,1,[5],['09/30/2023'],['Ball St.'],[328.0]
443.0,65.0,Tanner Mordecai,Wisconsin,796,2023-24,1,[13],['01/01/2024'],['LSU'],[378.0]
