Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receiving Yards
2103.0,383.0,Quali Conley,San Jose St.,630,2023-24,1,[7],['10/14/2023'],['New Mexico'],[61.0]
1096.0,189.0,Kairee Robinson,San Jose St.,630,2023-24,2,"[6, 7]","['10/07/2023', '10/14/2023']","['Boise St.', 'New Mexico']","[73.0, 63.0]"
2103.0,383.0,Charles Ross,San Jose St.,630,2023-24,1,[9],['10/28/2023'],['Hawaii'],[55.0]
2103.0,383.0,Dominick Mazotti,San Jose St.,630,2023-24,1,[7],['10/14/2023'],['New Mexico'],[70.0]
2103.0,383.0,Malikhi Miller,San Jose St.,630,2023-24,1,[4],['09/16/2023'],['Toledo'],[50.0]
1096.0,189.0,Sam Olson,San Jose St.,630,2023-24,2,"[12, 13]","['11/25/2023', '12/23/2023']","['UNLV', 'Coastal Carolina']","[81.0, 96.0]"
1096.0,189.0,Nick Nash,San Jose St.,630,2023-24,2,"[9, 10]","['10/28/2023', '11/11/2023']","['Hawaii', 'Fresno St.']","[86.0, 66.0]"
2103.0,383.0,Isaac Jernagin,San Jose St.,630,2023-24,1,[11],['11/18/2023'],['San Diego St.'],[56.0]
2103.0,383.0,Braylon McReynolds,South Alabama,646,2023-24,1,[12],['11/25/2023'],['Texas St.'],[70.0]
1096.0,189.0,Javon Ivory,South Alabama,646,2023-24,2,"[12, 13]","['11/25/2023', '12/23/2023']","['Texas St.', 'Eastern Mich.']","[85.0, 51.0]"
6.0,2.0,Caullin Lacy,South Alabama,646,2023-24,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","['09/02/2023', '09/09/2023', '09/16/2023', '09/23/2023', '09/30/2023', '10/07/2023', '10/17/2023', '10/28/2023', '11/02/2023', '11/11/2023', '11/18/2023', '11/25/2023']","['Tulane', 'Southeastern La.', 'Oklahoma St.', 'Central Mich.', 'James Madison', 'ULM', 'Southern Miss.', 'Louisiana', 'Troy', 'Arkansas St.', 'Marshall', 'Texas St.']","[60.0, 139.0, 104.0, 132.0, 132.0, 156.0, 103.0, 131.0, 89.0, 50.0, 126.0, 94.0]"
2103.0,383.0,Devin Voisin,South Alabama,646,2023-24,1,[2],['09/09/2023'],['Southeastern La.'],[70.0]
334.0,46.0,Jamaal Pritchett,South Alabama,646,2023-24,4,"[7, 8, 9, 10]","['10/17/2023', '10/28/2023', '11/02/2023', '11/11/2023']","['Southern Miss.', 'Louisiana', 'Troy', 'Arkansas St.']","[122.0, 168.0, 59.0, 50.0]"
2103.0,383.0,Lincoln Sefcik,South Alabama,646,2023-24,1,[7],['10/17/2023'],['Southern Miss.'],[64.0]
2103.0,383.0,DJ Thomas-Jones,South Alabama,646,2023-24,1,[12],['11/25/2023'],['Texas St.'],[56.0]
1096.0,189.0,Joshua Simon,South Carolina,648,2023-24,2,"[9, 10]","['11/04/2023', '11/11/2023']","['Jacksonville St.', 'Vanderbilt']","[64.0, 65.0]"
623.0,103.0,Trey Knox,South Carolina,648,2023-24,3,"[4, 5, 6]","['09/23/2023', '09/30/2023', '10/14/2023']","['Mississippi St.', 'Tennessee', 'Florida']","[53.0, 51.0, 50.0]"
1096.0,189.0,Nyck Harbor,South Carolina,648,2023-24,2,"[7, 8]","['10/21/2023', '10/28/2023']","['Missouri', 'Texas A&M']","[50.0, 59.0]"
2103.0,383.0,Tyshawn Russell,South Carolina,648,2023-24,1,[2],['09/09/2023'],['Furman'],[65.0]
119.0,22.0,Xavier Legette,South Carolina,648,2023-24,6,"[1, 2, 3, 4, 5, 6]","['09/02/2023', '09/09/2023', '09/16/2023', '09/23/2023', '09/30/2023', '10/14/2023']","['North Carolina', 'Furman', 'Georgia', 'Mississippi St.', 'Tennessee', 'Florida']","[178.0, 118.0, 71.0, 189.0, 50.0, 110.0]"
2103.0,383.0,Eddie Lewis,South Carolina,648,2023-24,1,[2],['09/09/2023'],['Furman'],[89.0]
2103.0,383.0,Dakereon Joyner,South Carolina,648,2023-24,1,[2],['09/09/2023'],['Furman'],[53.0]
2103.0,383.0,O'Mega Blake,South Carolina,648,2023-24,1,[3],['09/16/2023'],['Georgia'],[86.0]
1096.0,189.0,Khafre Brown,South Fla.,651,2023-24,2,"[4, 5]","['09/23/2023', '09/30/2023']","['Rice', 'Navy']","[59.0, 80.0]"
2103.0,383.0,Kelley Joiner,South Fla.,651,2023-24,1,[12],['11/25/2023'],['Charlotte'],[71.0]
623.0,103.0,Michael Brown-Stephens,South Fla.,651,2023-24,3,"[7, 8, 9]","['10/14/2023', '10/21/2023', '11/04/2023']","['Fla. Atlantic', 'UConn', 'Memphis']","[98.0, 92.0, 73.0]"
23.0,6.0,Sean Atkins,South Fla.,651,2023-24,10,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","['09/23/2023', '09/30/2023', '10/07/2023', '10/14/2023', '10/21/2023', '11/04/2023', '11/11/2023', '11/17/2023', '11/25/2023', '12/21/2023']","['Rice', 'Navy', 'UAB', 'Fla. Atlantic', 'UConn', 'Memphis', 'Temple', 'UTSA', 'Charlotte', 'Syracuse']","[73.0, 116.0, 91.0, 71.0, 57.0, 89.0, 169.0, 92.0, 61.0, 93.0]"
2103.0,383.0,Jaden Alexis,South Fla.,651,2023-24,1,[12],['11/25/2023'],['Charlotte'],[65.0]
1096.0,189.0,Yusuf Terry,South Fla.,651,2023-24,2,"[10, 11]","['11/11/2023', '11/17/2023']","['Temple', 'UTSA']","[57.0, 86.0]"
2103.0,383.0,Naiem Simmons,South Fla.,651,2023-24,1,[13],['12/21/2023'],['Syracuse'],[56.0]
2103.0,383.0,Zachariah Branch,Southern California,657,2023-24,1,[12],['11/18/2023'],['UCLA'],[51.0]
334.0,46.0,Brenden Rice,Southern California,657,2023-24,4,"[3, 4, 5, 6]","['09/09/2023', '09/23/2023', '09/30/2023', '10/07/2023']","['Stanford', 'Arizona St.', 'Colorado', 'Arizona']","[75.0, 133.0, 81.0, 96.0]"
2103.0,383.0,Mario Williams,Southern California,657,2023-24,1,[5],['09/30/2023'],['Colorado'],[53.0]
334.0,46.0,Tahj Washington,Southern California,657,2023-24,4,"[8, 9, 10, 11]","['10/21/2023', '10/28/2023', '11/04/2023', '11/11/2023']","['Utah', 'California', 'Washington', 'Oregon']","[112.0, 102.0, 122.0, 82.0]"
2103.0,383.0,Lake McRee,Southern California,657,2023-24,1,[9],['10/28/2023'],['California'],[71.0]
2103.0,383.0,Ja'Kobi Lane,Southern California,657,2023-24,1,[13],['12/27/2023'],['Louisville'],[60.0]
2103.0,383.0,Makai Lemon,Southern California,657,2023-24,1,[13],['12/27/2023'],['Louisville'],[75.0]
1096.0,189.0,Duce Robinson,Southern California,657,2023-24,2,"[2, 3]","['09/02/2023', '09/09/2023']","['Nevada', 'Stanford']","[71.0, 71.0]"
1096.0,189.0,MarShawn Lloyd,Southern California,657,2023-24,2,"[9, 12]","['10/28/2023', '11/18/2023']","['California', 'UCLA']","[72.0, 75.0]"
2103.0,383.0,Michael Jackson III,Southern California,657,2023-24,1,[7],['10/14/2023'],['Notre Dame'],[51.0]
2103.0,383.0,Jordan  Hudson,SMU,663,2023-24,1,[7],['10/20/2023'],['Temple'],[82.0]
1096.0,189.0,Romello Brinson,SMU,663,2023-24,2,"[7, 8]","['10/20/2023', '10/28/2023']","['Temple', 'Tulsa']","[87.0, 74.0]"
1096.0,189.0,Key'Shawn Smith,SMU,663,2023-24,2,"[11, 12]","['11/18/2023', '11/25/2023']","['Memphis', 'Navy']","[63.0, 58.0]"
1096.0,189.0,Jake Bailey,SMU,663,2023-24,2,"[2, 3]","['09/09/2023', '09/16/2023']","['Oklahoma', 'Prairie View']","[73.0, 54.0]"
2103.0,383.0,Adam Moore,SMU,663,2023-24,1,[8],['10/28/2023'],['Tulsa'],[66.0]
2103.0,383.0,Kelvontay Dixon,SMU,663,2023-24,1,[12],['11/25/2023'],['Navy'],[125.0]
1096.0,189.0,RJ Maryland,SMU,663,2023-24,2,"[12, 13]","['11/25/2023', '12/02/2023']","['Navy', 'Tulane']","[64.0, 56.0]"
2103.0,383.0,"Roderick Daniels, Jr.",SMU,663,2023-24,1,[3],['09/16/2023'],['Prairie View'],[96.0]
1096.0,189.0,Jordan Kerley,SMU,663,2023-24,2,"[3, 4]","['09/16/2023', '09/23/2023']","['Prairie View', 'TCU']","[83.0, 51.0]"
623.0,103.0,Jakarius Caston,Southern Miss.,664,2023-24,3,"[9, 10, 11]","['11/04/2023', '11/09/2023', '11/18/2023']","['ULM', 'Louisiana', 'Mississippi St.']","[92.0, 58.0, 88.0]"
