Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receiving Yards
3023.0,543.0,Quali Conley,San Jose St.,630,2023-24,1,[7],['10/14/2023'],['New Mexico'],[61.0]
2169.0,377.0,Kairee Robinson,San Jose St.,630,2023-24,2,"[6, 7]","['10/07/2023', '10/14/2023']","['Boise St.', 'New Mexico']","[73.0, 63.0]"
2169.0,377.0,Charles Ross,San Jose St.,630,2023-24,2,"[1, 9]","['08/26/2023', '10/28/2023']","['Southern California', 'Hawaii']","[62.0, 55.0]"
2169.0,377.0,Dominick Mazotti,San Jose St.,630,2023-24,2,"[5, 7]","['09/22/2023', '10/14/2023']","['Air Force', 'New Mexico']","[60.0, 70.0]"
3023.0,543.0,Malikhi Miller,San Jose St.,630,2023-24,1,[4],['09/16/2023'],['Toledo'],[50.0]
1593.0,272.0,Sam Olson,San Jose St.,630,2023-24,3,"[2, 12, 13]","['09/03/2023', '11/25/2023', '12/23/2023']","['Oregon St.', 'UNLV', 'Coastal Carolina']","[60.0, 81.0, 96.0]"
408.0,74.0,Nick Nash,San Jose St.,630,2023-24,7,"[1, 4, 6, 7, 9, 10, 12]","['08/26/2023', '09/16/2023', '10/07/2023', '10/14/2023', '10/28/2023', '11/11/2023', '11/25/2023']","['Southern California', 'Toledo', 'Boise St.', 'New Mexico', 'Hawaii', 'Fresno St.', 'UNLV']","[89.0, 80.0, 99.0, 54.0, 86.0, 66.0, 98.0]"
3023.0,543.0,Isaac Jernagin,San Jose St.,630,2023-24,1,[11],['11/18/2023'],['San Diego St.'],[56.0]
3023.0,543.0,Braylon McReynolds,South Alabama,646,2023-24,1,[12],['11/25/2023'],['Texas St.'],[70.0]
2169.0,377.0,Javon Ivory,South Alabama,646,2023-24,2,"[12, 13]","['11/25/2023', '12/23/2023']","['Texas St.', 'Eastern Mich.']","[85.0, 51.0]"
11.0,2.0,Caullin Lacy,South Alabama,646,2023-24,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","['09/02/2023', '09/09/2023', '09/16/2023', '09/23/2023', '09/30/2023', '10/07/2023', '10/17/2023', '10/28/2023', '11/02/2023', '11/11/2023', '11/18/2023', '11/25/2023']","['Tulane', 'Southeastern La.', 'Oklahoma St.', 'Central Mich.', 'James Madison', 'ULM', 'Southern Miss.', 'Louisiana', 'Troy', 'Arkansas St.', 'Marshall', 'Texas St.']","[60.0, 139.0, 104.0, 132.0, 132.0, 156.0, 103.0, 131.0, 89.0, 50.0, 126.0, 94.0]"
3023.0,543.0,Devin Voisin,South Alabama,646,2023-24,1,[2],['09/09/2023'],['Southeastern La.'],[70.0]
151.0,27.0,Jamaal Pritchett,South Alabama,646,2023-24,9,"[1, 4, 5, 7, 8, 9, 10, 12, 13]","['09/02/2023', '09/23/2023', '09/30/2023', '10/17/2023', '10/28/2023', '11/02/2023', '11/11/2023', '11/25/2023', '12/23/2023']","['Tulane', 'Central Mich.', 'James Madison', 'Southern Miss.', 'Louisiana', 'Troy', 'Arkansas St.', 'Texas St.', 'Eastern Mich.']","[63.0, 62.0, 65.0, 122.0, 168.0, 59.0, 50.0, 81.0, 127.0]"
3023.0,543.0,Lincoln Sefcik,South Alabama,646,2023-24,1,[7],['10/17/2023'],['Southern Miss.'],[64.0]
3023.0,543.0,DJ Thomas-Jones,South Alabama,646,2023-24,1,[12],['11/25/2023'],['Texas St.'],[56.0]
2169.0,377.0,Joshua Simon,South Carolina,648,2023-24,2,"[9, 10]","['11/04/2023', '11/11/2023']","['Jacksonville St.', 'Vanderbilt']","[64.0, 65.0]"
1593.0,272.0,Trey Knox,South Carolina,648,2023-24,3,"[4, 5, 6]","['09/23/2023', '09/30/2023', '10/14/2023']","['Mississippi St.', 'Tennessee', 'Florida']","[53.0, 51.0, 50.0]"
2169.0,377.0,Nyck Harbor,South Carolina,648,2023-24,2,"[7, 8]","['10/21/2023', '10/28/2023']","['Missouri', 'Texas A&M']","[50.0, 59.0]"
3023.0,543.0,Tyshawn Russell,South Carolina,648,2023-24,1,[2],['09/09/2023'],['Furman'],[65.0]
82.0,16.0,Xavier Legette,South Carolina,648,2023-24,10,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12]","['09/02/2023', '09/09/2023', '09/16/2023', '09/23/2023', '09/30/2023', '10/14/2023', '11/04/2023', '11/11/2023', '11/18/2023', '11/25/2023']","['North Carolina', 'Furman', 'Georgia', 'Mississippi St.', 'Tennessee', 'Florida', 'Jacksonville St.', 'Vanderbilt', 'Kentucky', 'Clemson']","[178.0, 118.0, 71.0, 189.0, 50.0, 110.0, 217.0, 120.0, 94.0, 68.0]"
3023.0,543.0,Eddie Lewis,South Carolina,648,2023-24,1,[2],['09/09/2023'],['Furman'],[89.0]
3023.0,543.0,Dakereon Joyner,South Carolina,648,2023-24,1,[2],['09/09/2023'],['Furman'],[53.0]
3023.0,543.0,O'Mega Blake,South Carolina,648,2023-24,1,[3],['09/16/2023'],['Georgia'],[86.0]
