Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receptions
2185.0,380.0,Quali Conley,San Jose St.,630,2023-24,1,[5],['09/22/2023'],['Air Force'],[5.0]
2185.0,380.0,Charles Ross,San Jose St.,630,2023-24,1,[1],['08/26/2023'],['Southern California'],[5.0]
2185.0,380.0,Dominick Mazotti,San Jose St.,630,2023-24,1,[5],['09/22/2023'],['Air Force'],[5.0]
1528.0,263.0,Sam Olson,San Jose St.,630,2023-24,2,"[2, 12]","['09/03/2023', '11/25/2023']","['Oregon St.', 'UNLV']","[6.0, 6.0]"
565.0,88.0,Nick Nash,San Jose St.,630,2023-24,5,"[1, 2, 4, 5, 9]","['08/26/2023', '09/03/2023', '09/16/2023', '09/22/2023', '10/28/2023']","['Southern California', 'Oregon St.', 'Toledo', 'Air Force', 'Hawaii']","[6.0, 7.0, 6.0, 5.0, 6.0]"
1528.0,263.0,Braylon McReynolds,South Alabama,646,2023-24,2,"[11, 12]","['11/18/2023', '11/25/2023']","['Marshall', 'Texas St.']","[5.0, 6.0]"
2185.0,380.0,Javon Ivory,South Alabama,646,2023-24,1,[5],['09/30/2023'],['James Madison'],[6.0]
8.0,2.0,Caullin Lacy,South Alabama,646,2023-24,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","['09/02/2023', '09/09/2023', '09/16/2023', '09/23/2023', '09/30/2023', '10/07/2023', '10/17/2023', '10/28/2023', '11/02/2023', '11/11/2023', '11/18/2023', '11/25/2023']","['Tulane', 'Southeastern La.', 'Oklahoma St.', 'Central Mich.', 'James Madison', 'ULM', 'Southern Miss.', 'Louisiana', 'Troy', 'Arkansas St.', 'Marshall', 'Texas St.']","[7.0, 8.0, 5.0, 6.0, 6.0, 7.0, 9.0, 7.0, 9.0, 7.0, 9.0, 11.0]"
391.0,62.0,Jamaal Pritchett,South Alabama,646,2023-24,6,"[1, 4, 7, 8, 9, 13]","['09/02/2023', '09/23/2023', '10/17/2023', '10/28/2023', '11/02/2023', '12/23/2023']","['Tulane', 'Central Mich.', 'Southern Miss.', 'Louisiana', 'Troy', 'Eastern Mich.']","[5.0, 6.0, 5.0, 11.0, 6.0, 8.0]"
2185.0,380.0,DJ Thomas-Jones,South Alabama,646,2023-24,1,[12],['11/25/2023'],['Texas St.'],[9.0]
2185.0,380.0,La'Damian Webb,South Alabama,646,2023-24,1,[5],['09/30/2023'],['James Madison'],[7.0]
1528.0,263.0,Joshua Simon,South Carolina,648,2023-24,2,"[9, 10]","['11/04/2023', '11/11/2023']","['Jacksonville St.', 'Vanderbilt']","[7.0, 6.0]"
1107.0,183.0,Trey Knox,South Carolina,648,2023-24,3,"[5, 6, 7]","['09/30/2023', '10/14/2023', '10/21/2023']","['Tennessee', 'Florida', 'Missouri']","[7.0, 8.0, 5.0]"
2185.0,380.0,Nyck Harbor,South Carolina,648,2023-24,1,[8],['10/28/2023'],['Texas A&M'],[6.0]
48.0,10.0,Xavier Legette,South Carolina,648,2023-24,10,"[1, 2, 3, 4, 5, 6, 9, 10, 11, 12]","['09/02/2023', '09/09/2023', '09/16/2023', '09/23/2023', '09/30/2023', '10/14/2023', '11/04/2023', '11/11/2023', '11/18/2023', '11/25/2023']","['North Carolina', 'Furman', 'Georgia', 'Mississippi St.', 'Tennessee', 'Florida', 'Jacksonville St.', 'Vanderbilt', 'Kentucky', 'Clemson']","[9.0, 6.0, 7.0, 5.0, 5.0, 5.0, 9.0, 9.0, 6.0, 6.0]"
2185.0,380.0,Eddie Lewis,South Carolina,648,2023-24,1,[2],['09/09/2023'],['Furman'],[6.0]
2185.0,380.0,Ahmarean Brown,South Carolina,648,2023-24,1,[2],['09/09/2023'],['Furman'],[6.0]
2185.0,380.0,Dakereon Joyner,South Carolina,648,2023-24,1,[1],['09/02/2023'],['North Carolina'],[5.0]
2185.0,380.0,O'Mega Blake,South Carolina,648,2023-24,1,[3],['09/16/2023'],['Georgia'],[5.0]
2185.0,380.0,Khafre Brown,South Fla.,651,2023-24,1,[5],['09/30/2023'],['Navy'],[7.0]
1528.0,263.0,Michael Brown-Stephens,South Fla.,651,2023-24,2,"[8, 9]","['10/21/2023', '11/04/2023']","['UConn', 'Memphis']","[9.0, 5.0]"
8.0,2.0,Sean Atkins,South Fla.,651,2023-24,12,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13]","['09/02/2023', '09/09/2023', '09/16/2023', '09/23/2023', '10/07/2023', '10/14/2023', '10/21/2023', '11/04/2023', '11/11/2023', '11/17/2023', '11/25/2023', '12/21/2023']","['Western Ky.', 'Florida A&M', 'Alabama', 'Rice', 'UAB', 'Fla. Atlantic', 'UConn', 'Memphis', 'Temple', 'UTSA', 'Charlotte', 'Syracuse']","[5.0, 5.0, 6.0, 8.0, 8.0, 7.0, 8.0, 9.0, 9.0, 10.0, 7.0, 6.0]"
1528.0,263.0,Naiem Simmons,South Fla.,651,2023-24,2,"[4, 5]","['09/23/2023', '09/30/2023']","['Rice', 'Navy']","[8.0, 5.0]"
2185.0,380.0,Zachariah Branch,Southern California,657,2023-24,1,[12],['11/18/2023'],['UCLA'],[5.0]
565.0,88.0,Brenden Rice,Southern California,657,2023-24,5,"[4, 5, 8, 11, 12]","['09/23/2023', '09/30/2023', '10/21/2023', '11/11/2023', '11/18/2023']","['Arizona St.', 'Colorado', 'Utah', 'Oregon', 'UCLA']","[7.0, 5.0, 5.0, 5.0, 8.0]"
2185.0,380.0,Mario Williams,Southern California,657,2023-24,1,[7],['10/14/2023'],['Notre Dame'],[5.0]
391.0,62.0,Tahj Washington,Southern California,657,2023-24,6,"[5, 8, 9, 10, 12, 13]","['09/30/2023', '10/21/2023', '10/28/2023', '11/04/2023', '11/18/2023', '12/27/2023']","['Colorado', 'Utah', 'California', 'Washington', 'UCLA', 'Louisville']","[8.0, 5.0, 5.0, 8.0, 5.0, 7.0]"
2185.0,380.0,Michael Jackson III,Southern California,657,2023-24,1,[7],['10/14/2023'],['Notre Dame'],[6.0]
2185.0,380.0,Jordan  Hudson,SMU,663,2023-24,1,[7],['10/20/2023'],['Temple'],[6.0]
2185.0,380.0,Romello Brinson,SMU,663,2023-24,1,[7],['10/20/2023'],['Temple'],[5.0]
1107.0,183.0,Jake Bailey,SMU,663,2023-24,3,"[2, 7, 14]","['09/09/2023', '10/20/2023', '12/28/2023']","['Oklahoma', 'Temple', 'Boston College']","[7.0, 6.0, 6.0]"
1528.0,263.0,RJ Maryland,SMU,663,2023-24,2,"[1, 13]","['09/02/2023', '12/02/2023']","['Louisiana Tech', 'Tulane']","[5.0, 5.0]"
