Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Rushing Yards
54.0,9.0,Kairee Robinson,San Jose St.,630,2023-24,4,"[7, 8, 9, 10]","['10/14/2023', '10/21/2023', '10/28/2023', '11/11/2023']","['New Mexico', 'Utah St.', 'Hawaii', 'Fresno St.']","[126.0, 102.0, 146.0, 200.0]"
523.0,78.0,Quali Conley,San Jose St.,630,2023-24,1,[11],['11/18/2023'],['San Diego St.'],[155.0]
199.0,29.0,La'Damian Webb,South Alabama,646,2023-24,2,"[10, 11]","['11/11/2023', '11/18/2023']","['Arkansas St.', 'Marshall']","[163.0, 117.0]"
523.0,78.0,Mario Anderson,South Carolina,648,2023-24,1,[10],['11/11/2023'],['Vanderbilt'],[102.0]
199.0,29.0,Nay'Quan Wright,South Fla.,651,2023-24,2,"[7, 8]","['10/14/2023', '10/21/2023']","['Fla. Atlantic', 'UConn']","[106.0, 186.0]"
523.0,78.0,Byrum Brown,South Fla.,651,2023-24,1,[9],['11/04/2023'],['Memphis'],[100.0]
523.0,78.0,Michel Dukes,South Fla.,651,2023-24,1,[12],['11/25/2023'],['Charlotte'],[104.0]
523.0,78.0,MarShawn Lloyd,Southern California,657,2023-24,1,[9],['10/28/2023'],['California'],[115.0]
523.0,78.0,Austin Jones,Southern California,657,2023-24,1,[10],['11/04/2023'],['Washington'],[127.0]
523.0,78.0,Jaylan Knighton,SMU,663,2023-24,1,[10],['11/10/2023'],['North Texas'],[129.0]
199.0,29.0,LJ Johnson Jr.,SMU,663,2023-24,2,"[10, 11]","['11/10/2023', '11/18/2023']","['North Texas', 'Memphis']","[106.0, 115.0]"
96.0,15.0,Frank Gore,Southern Miss.,664,2023-24,3,"[8, 9, 10]","['10/28/2023', '11/04/2023', '11/09/2023']","['App State', 'ULM', 'Louisiana']","[247.0, 131.0, 158.0]"
523.0,78.0,Malik Hornsby,Texas St.,670,2023-24,1,[3],['09/16/2023'],['Jackson St.'],[133.0]
523.0,78.0,Damarius Good,Texas St.,670,2023-24,1,[3],['09/16/2023'],['Jackson St.'],[105.0]
523.0,78.0,Ismail Mahdi,Texas St.,670,2023-24,1,[13],['12/26/2023'],['Rice'],[122.0]
199.0,29.0,Jacob Kibodi,Louisiana,671,2023-24,2,"[4, 5]","['09/16/2023', '09/23/2023']","['UAB', 'Buffalo']","[108.0, 100.0]"
523.0,78.0,Elijah Davis,Louisiana,671,2023-24,1,[12],['11/25/2023'],['ULM'],[109.0]
523.0,78.0,Zeon Chriss,Louisiana,671,2023-24,1,[7],['10/21/2023'],['Georgia St.'],[119.0]
523.0,78.0,Dre'lyn Washington,Louisiana,671,2023-24,1,[5],['09/23/2023'],['Buffalo'],[103.0]
