Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Rushing Yards
95.0,14.0,Kairee Robinson,San Jose St.,630,2023-24,6,"[3, 7, 8, 9, 10, 12]","['09/09/2023', '10/14/2023', '10/21/2023', '10/28/2023', '11/11/2023', '11/25/2023']","['Cal Poly', 'New Mexico', 'Utah St.', 'Hawaii', 'Fresno St.', 'UNLV']","[124.0, 126.0, 102.0, 146.0, 200.0, 168.0]"
336.0,58.0,Quali Conley,San Jose St.,630,2023-24,3,"[1, 7, 11]","['08/26/2023', '10/14/2023', '11/18/2023']","['Southern California', 'New Mexico', 'San Diego St.']","[108.0, 123.0, 155.0]"
141.0,25.0,La'Damian Webb,South Alabama,646,2023-24,5,"[3, 6, 7, 10, 11]","['09/16/2023', '10/07/2023', '10/17/2023', '11/11/2023', '11/18/2023']","['Oklahoma St.', 'ULM', 'Southern Miss.', 'Arkansas St.', 'Marshall']","[151.0, 100.0, 102.0, 163.0, 117.0]"
548.0,87.0,Mario Anderson,South Carolina,648,2023-24,2,"[5, 10]","['09/30/2023', '11/11/2023']","['Tennessee', 'Vanderbilt']","[101.0, 102.0]"
336.0,58.0,Nay'Quan Wright,South Fla.,651,2023-24,3,"[1, 7, 8]","['09/02/2023', '10/14/2023', '10/21/2023']","['Western Ky.', 'Fla. Atlantic', 'UConn']","[111.0, 106.0, 186.0]"
336.0,58.0,Byrum Brown,South Fla.,651,2023-24,3,"[1, 6, 9]","['09/02/2023', '10/07/2023', '11/04/2023']","['Western Ky.', 'UAB', 'Memphis']","[160.0, 136.0, 100.0]"
860.0,131.0,Michel Dukes,South Fla.,651,2023-24,1,[12],['11/25/2023'],['Charlotte'],[104.0]
548.0,87.0,MarShawn Lloyd,Southern California,657,2023-24,2,"[4, 9]","['09/23/2023', '10/28/2023']","['Arizona St.', 'California']","[154.0, 115.0]"
860.0,131.0,Austin Jones,Southern California,657,2023-24,1,[10],['11/04/2023'],['Washington'],[127.0]
548.0,87.0,Jaylan Knighton,SMU,663,2023-24,2,"[5, 10]","['09/30/2023', '11/10/2023']","['Charlotte', 'North Texas']","[150.0, 129.0]"
336.0,58.0,LJ Johnson Jr.,SMU,663,2023-24,3,"[1, 10, 11]","['09/02/2023', '11/10/2023', '11/18/2023']","['Louisiana Tech', 'North Texas', 'Memphis']","[128.0, 106.0, 115.0]"
141.0,25.0,Frank Gore,Southern Miss.,664,2023-24,5,"[4, 5, 8, 9, 10]","['09/23/2023', '09/30/2023', '10/28/2023', '11/04/2023', '11/09/2023']","['Arkansas St.', 'Texas St.', 'App State', 'ULM', 'Louisiana']","[132.0, 123.0, 247.0, 131.0, 158.0]"
860.0,131.0,Malik Hornsby,Texas St.,670,2023-24,1,[3],['09/16/2023'],['Jackson St.'],[133.0]
860.0,131.0,Damarius Good,Texas St.,670,2023-24,1,[3],['09/16/2023'],['Jackson St.'],[105.0]
222.0,35.0,Ismail Mahdi,Texas St.,670,2023-24,4,"[4, 6, 8, 13]","['09/23/2023', '10/07/2023', '10/28/2023', '12/26/2023']","['Nevada', 'Louisiana', 'Troy', 'Rice']","[216.0, 188.0, 128.0, 122.0]"
336.0,58.0,Jacob Kibodi,Louisiana,671,2023-24,3,"[4, 5, 8]","['09/16/2023', '09/23/2023', '10/28/2023']","['UAB', 'Buffalo', 'South Alabama']","[108.0, 100.0, 119.0]"
860.0,131.0,Elijah Davis,Louisiana,671,2023-24,1,[12],['11/25/2023'],['ULM'],[109.0]
548.0,87.0,Zeon Chriss,Louisiana,671,2023-24,2,"[4, 7]","['09/16/2023', '10/21/2023']","['UAB', 'Georgia St.']","[103.0, 119.0]"
860.0,131.0,Dre'lyn Washington,Louisiana,671,2023-24,1,[5],['09/23/2023'],['Buffalo'],[103.0]
48.0,5.0,LeQuint Allen,Syracuse,688,2023-24,7,"[2, 4, 7, 9, 10, 11, 12]","['09/02/2023', '09/23/2023', '10/14/2023', '11/03/2023', '11/11/2023', '11/18/2023', '11/25/2023']","['Colgate', 'Army West Point', 'Florida St.', 'Boston College', 'Pittsburgh', 'Georgia Tech', 'Wake Forest']","[107.0, 104.0, 110.0, 142.0, 103.0, 120.0, 144.0]"
860.0,131.0,Dan Villari,Syracuse,688,2023-24,1,[10],['11/11/2023'],['Pittsburgh'],[154.0]
548.0,87.0,Garrett Shrader,Syracuse,688,2023-24,2,"[1, 10]","['09/16/2023', '11/11/2023']","['Purdue', 'Pittsburgh']","[195.0, 105.0]"
860.0,131.0,Quincy Patterson,Temple,690,2023-24,1,[7],['10/14/2023'],['North Texas'],[113.0]
860.0,131.0,Joquez Smith,Temple,690,2023-24,1,[3],['09/16/2023'],['Norfolk St.'],[142.0]
548.0,87.0,Dylan Sampson,Tennessee,694,2023-24,2,"[4, 13]","['09/23/2023', '01/01/2024']","['UTSA', 'Iowa']","[139.0, 133.0]"
95.0,14.0,Jaylen Wright,Tennessee,694,2023-24,6,"[1, 2, 5, 6, 8, 9]","['09/02/2023', '09/09/2023', '09/30/2023', '10/14/2023', '10/28/2023', '11/04/2023']","['Virginia', 'Austin Peay', 'South Carolina', 'Texas A&M', 'Kentucky', 'UConn']","[115.0, 118.0, 123.0, 136.0, 120.0, 113.0]"
860.0,131.0,Rueben Owens,Texas A&M,697,2023-24,1,[11],['11/18/2023'],['Abilene Christian'],[106.0]
860.0,131.0,Le'Veon Moss,Texas A&M,697,2023-24,1,[5],['09/30/2023'],['Arkansas'],[107.0]
95.0,14.0,Emani Bailey,TCU,698,2023-24,6,"[1, 3, 4, 6, 8, 12]","['09/02/2023', '09/16/2023', '09/23/2023', '10/07/2023', '10/21/2023', '11/24/2023']","['Colorado', 'Houston', 'SMU', 'Iowa St.', 'Kansas St.', 'Oklahoma']","[164.0, 126.0, 126.0, 152.0, 100.0, 150.0]"
