Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Sacks
Natano Woods,San Jose St.,630,2023-24,1,[3],['09/09/2023'],['Cal Poly'],[1.0]
Jay Kakiva,San Jose St.,630,2023-24,1,[10],['11/11/2023'],['Fresno St.'],[1.0]
Kenyon Reed,San Jose St.,630,2023-24,1,[9],['10/28/2023'],['Hawaii'],[1.0]
Soane Toia,San Jose St.,630,2023-24,3,"[9, 10, 11]","['10/28/2023', '11/11/2023', '11/18/2023']","['Hawaii', 'Fresno St.', 'San Diego St.']","[1.5, 1.0, 2.0]"
Bryun Parham,San Jose St.,630,2023-24,2,"[11, 12]","['11/18/2023', '11/25/2023']","['San Diego St.', 'UNLV']","[1.0, 1.0]"
Noah Lavulo,San Jose St.,630,2023-24,1,[10],['11/11/2023'],['Fresno St.'],[2.0]
John Norwood,San Jose St.,630,2023-24,1,[9],['10/28/2023'],['Hawaii'],[1.0]
Tre Smith,San Jose St.,630,2023-24,2,"[10, 13]","['11/11/2023', '12/23/2023']","['Fresno St.', 'Coastal Carolina']","[1.0, 1.0]"
Jay'Vion Cole,San Jose St.,630,2023-24,1,[2],['09/03/2023'],['Oregon St.'],[1.0]
Jamie Sheriff,South Alabama,646,2023-24,3,"[3, 5, 10]","['09/16/2023', '09/30/2023', '11/11/2023']","['Oklahoma St.', 'James Madison', 'Arkansas St.']","[1.0, 1.0, 1.0]"
Maurice Strong Jr.,South Alabama,646,2023-24,2,"[2, 7]","['09/09/2023', '10/17/2023']","['Southeastern La.', 'Southern Miss.']","[1.0, 1.0]"
Jordan Norman,South Alabama,646,2023-24,1,[7],['10/17/2023'],['Southern Miss.'],[1.0]
Trey Kiser,South Alabama,646,2023-24,1,[9],['11/02/2023'],['Troy'],[2.0]
Lamondre Brooks,South Alabama,646,2023-24,1,[6],['10/07/2023'],['ULM'],[1.0]
Yam Banks,South Alabama,646,2023-24,1,[4],['09/23/2023'],['Central Mich.'],[1.0]
Brock Higdon,South Alabama,646,2023-24,1,[3],['09/16/2023'],['Oklahoma St.'],[2.0]
Charles Coleman III,South Alabama,646,2023-24,1,[4],['09/23/2023'],['Central Mich.'],[1.0]
Khalil Jacobs,South Alabama,646,2023-24,3,"[1, 7, 12]","['09/02/2023', '10/17/2023', '11/25/2023']","['Tulane', 'Southern Miss.', 'Texas St.']","[1.0, 1.0, 1.0]"
Quentin Wilfawn,South Alabama,646,2023-24,5,"[3, 8, 9, 10, 12]","['09/16/2023', '10/28/2023', '11/02/2023', '11/11/2023', '11/25/2023']","['Oklahoma St.', 'Louisiana', 'Troy', 'Arkansas St.', 'Texas St.']","[1.0, 1.0, 1.0, 2.5, 1.0]"
Marcellas Dial,South Carolina,648,2023-24,1,[8],['10/28/2023'],['Texas A&M'],[1.0]
T.J. Sanders,South Carolina,648,2023-24,4,"[2, 3, 4, 6]","['09/09/2023', '09/16/2023', '09/23/2023', '10/14/2023']","['Furman', 'Georgia', 'Mississippi St.', 'Florida']","[1.0, 1.0, 1.0, 1.5]"
Alex Huntley,South Carolina,648,2023-24,1,[4],['09/23/2023'],['Mississippi St.'],[2.0]
Bryan Thomas Jr.,South Carolina,648,2023-24,1,[8],['10/28/2023'],['Texas A&M'],[1.0]
Debo Williams,South Carolina,648,2023-24,1,[6],['10/14/2023'],['Florida'],[1.0]
Stone Blanton,South Carolina,648,2023-24,1,[3],['09/16/2023'],['Georgia'],[1.0]
Jordan Strachan,South Carolina,648,2023-24,3,"[2, 6, 11]","['09/09/2023', '10/14/2023', '11/18/2023']","['Furman', 'Florida', 'Kentucky']","[1.0, 1.0, 2.0]"
Bam Martin-Scott,South Carolina,648,2023-24,2,"[5, 10]","['09/30/2023', '11/11/2023']","['Tennessee', 'Vanderbilt']","[1.0, 1.0]"
Tyreek Johnson,South Carolina,648,2023-24,2,"[9, 12]","['11/04/2023', '11/25/2023']","['Jacksonville St.', 'Clemson']","[1.0, 1.0]"
Tonka Hemingway,South Carolina,648,2023-24,1,[8],['10/28/2023'],['Texas A&M'],[1.0]
Daquan Evans,South Fla.,651,2023-24,2,"[3, 13]","['09/16/2023', '12/21/2023']","['Alabama', 'Syracuse']","[3.0, 1.0]"
Jaelen Stokes,South Fla.,651,2023-24,2,"[3, 13]","['09/16/2023', '12/21/2023']","['Alabama', 'Syracuse']","[1.0, 1.0]"
Lloyd Summerall III,South Fla.,651,2023-24,1,[4],['09/23/2023'],['Rice'],[1.0]
Jonathan Ross,South Fla.,651,2023-24,2,"[2, 4]","['09/09/2023', '09/23/2023']","['Florida A&M', 'Rice']","[1.0, 1.0]"
Jacquez Williams,South Fla.,651,2023-24,1,[2],['09/09/2023'],['Florida A&M'],[1.0]
Michael Williams II,South Fla.,651,2023-24,1,[9],['11/04/2023'],['Memphis'],[1.0]
Tramel Logan,South Fla.,651,2023-24,1,[9],['11/04/2023'],['Memphis'],[1.0]
DJ Gordon IV,South Fla.,651,2023-24,3,"[4, 6, 11]","['09/23/2023', '10/07/2023', '11/17/2023']","['Rice', 'UAB', 'UTSA']","[1.5, 1.0, 1.0]"
Jason Vaughn,South Fla.,651,2023-24,2,"[2, 3]","['09/09/2023', '09/16/2023']","['Florida A&M', 'Alabama']","[1.0, 1.0]"
Jhalyn Shuler,South Fla.,651,2023-24,2,"[6, 8]","['10/07/2023', '10/21/2023']","['UAB', 'UConn']","[1.0, 1.0]"
Aamaris Brown,South Fla.,651,2023-24,1,[2],['09/09/2023'],['Florida A&M'],[1.0]
Jamie Pettway,South Fla.,651,2023-24,1,[12],['11/25/2023'],['Charlotte'],[1.0]
Braylan Shelby,Southern California,657,2023-24,2,"[2, 6]","['09/02/2023', '10/07/2023']","['Nevada', 'Arizona']","[1.0, 1.0]"
Jack Sullivan,Southern California,657,2023-24,1,[12],['11/18/2023'],['UCLA'],[1.0]
Solomon Byrd,Southern California,657,2023-24,3,"[2, 3, 4]","['09/02/2023', '09/09/2023', '09/23/2023']","['Nevada', 'Stanford', 'Arizona St.']","[1.0, 1.0, 2.0]"
Romello Height,Southern California,657,2023-24,3,"[4, 5, 8]","['09/23/2023', '09/30/2023', '10/21/2023']","['Arizona St.', 'Colorado', 'Utah']","[2.0, 1.0, 1.0]"
Tackett Curtis,Southern California,657,2023-24,1,[4],['09/23/2023'],['Arizona St.'],[2.0]
Bear Alexander,Southern California,657,2023-24,1,[4],['09/23/2023'],['Arizona St.'],[1.0]
De'jon Benton,Southern California,657,2023-24,1,[2],['09/02/2023'],['Nevada'],[1.0]
Jaylin Smith,Southern California,657,2023-24,1,[12],['11/18/2023'],['UCLA'],[1.0]
Shane Lee,Southern California,657,2023-24,1,[2],['09/02/2023'],['Nevada'],[1.0]
Jamil Muhammad,Southern California,657,2023-24,5,"[2, 3, 4, 5, 6]","['09/02/2023', '09/09/2023', '09/23/2023', '09/30/2023', '10/07/2023']","['Nevada', 'Stanford', 'Arizona St.', 'Colorado', 'Arizona']","[1.0, 1.0, 1.0, 1.0, 2.0]"
Max Williams,Southern California,657,2023-24,1,[13],['12/27/2023'],['Louisville'],[1.0]
Eric Gentry,Southern California,657,2023-24,1,[10],['11/04/2023'],['Washington'],[1.0]
Ahmaad Moses,SMU,663,2023-24,1,[8],['10/28/2023'],['Tulsa'],[1.0]
Jaqwondis Burns,SMU,663,2023-24,2,"[1, 8]","['09/02/2023', '10/28/2023']","['Louisiana Tech', 'Tulsa']","[1.0, 1.0]"
Bryce McMorris,SMU,663,2023-24,1,[8],['10/28/2023'],['Tulsa'],[1.0]
Je'lin Samuels,SMU,663,2023-24,1,[4],['09/23/2023'],['TCU'],[1.0]
Elijah Roberts,SMU,663,2023-24,7,"[1, 3, 7, 8, 9, 10, 13]","['09/02/2023', '09/16/2023', '10/20/2023', '10/28/2023', '11/04/2023', '11/10/2023', '12/02/2023']","['Louisiana Tech', 'Prairie View', 'Temple', 'Tulsa', 'Rice', 'North Texas', 'Tulane']","[2.0, 1.0, 1.0, 1.0, 2.5, 1.0, 1.5]"
Nelson Paul,SMU,663,2023-24,4,"[1, 3, 5, 13]","['09/02/2023', '09/16/2023', '09/30/2023', '12/02/2023']","['Louisiana Tech', 'Prairie View', 'Charlotte', 'Tulane']","[1.0, 1.0, 1.0, 1.5]"
Isaiah Smith,SMU,663,2023-24,3,"[10, 12, 13]","['11/10/2023', '11/25/2023', '12/02/2023']","['North Texas', 'Navy', 'Tulane']","[1.0, 1.0, 2.5]"
Ahmad Walker,SMU,663,2023-24,1,[7],['10/20/2023'],['Temple'],[1.0]
Elijah Chatman,SMU,663,2023-24,2,"[2, 7]","['09/09/2023', '10/20/2023']","['Oklahoma', 'Temple']","[1.0, 1.5]"
