Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Total Tackles For Loss
1570.0,237.0,Kenyon Reed,San Jose St.,630,2023-24,1,[9],['10/28/2023'],['Hawaii'],[2.0]
1570.0,237.0,Soane Toia,San Jose St.,630,2023-24,1,[11],['11/18/2023'],['San Diego St.'],[2.0]
1570.0,237.0,Bryun Parham,San Jose St.,630,2023-24,1,[12],['11/25/2023'],['UNLV'],[2.0]
1570.0,237.0,Noah Lavulo,San Jose St.,630,2023-24,1,[10],['11/11/2023'],['Fresno St.'],[2.0]
622.0,93.0,Tre Smith,San Jose St.,630,2023-24,2,"[1, 8]","['08/26/2023', '10/21/2023']","['Southern California', 'Utah St.']","[2.5, 2.5]"
622.0,93.0,Trey Kiser,South Alabama,646,2023-24,2,"[5, 9]","['09/30/2023', '11/02/2023']","['James Madison', 'Troy']","[3.5, 2.0]"
1570.0,237.0,Khalil Jacobs,South Alabama,646,2023-24,1,[7],['10/17/2023'],['Southern Miss.'],[3.5]
1570.0,237.0,Brock Higdon,South Alabama,646,2023-24,1,[3],['09/16/2023'],['Oklahoma St.'],[2.0]
251.0,41.0,Quentin Wilfawn,South Alabama,646,2023-24,3,"[8, 9, 10]","['10/28/2023', '11/02/2023', '11/11/2023']","['Louisiana', 'Troy', 'Arkansas St.']","[4.5, 2.0, 3.0]"
622.0,93.0,Jamie Sheriff,South Alabama,646,2023-24,2,"[10, 13]","['11/11/2023', '12/23/2023']","['Arkansas St.', 'Eastern Mich.']","[2.0, 2.0]"
622.0,93.0,T.J. Sanders,South Carolina,648,2023-24,2,"[2, 3]","['09/09/2023', '09/16/2023']","['Furman', 'Georgia']","[2.0, 2.0]"
1570.0,237.0,Alex Huntley,South Carolina,648,2023-24,1,[4],['09/23/2023'],['Mississippi St.'],[2.0]
1570.0,237.0,Debo Williams,South Carolina,648,2023-24,1,[6],['10/14/2023'],['Florida'],[3.5]
622.0,93.0,Jordan Strachan,South Carolina,648,2023-24,2,"[4, 11]","['09/23/2023', '11/18/2023']","['Mississippi St.', 'Kentucky']","[2.0, 2.0]"
98.0,21.0,Daquan Evans,South Fla.,651,2023-24,4,"[1, 2, 3, 13]","['09/02/2023', '09/09/2023', '09/16/2023', '12/21/2023']","['Western Ky.', 'Florida A&M', 'Alabama', 'Syracuse']","[2.0, 2.0, 4.0, 2.0]"
622.0,93.0,Jhalyn Shuler,South Fla.,651,2023-24,2,"[6, 11]","['10/07/2023', '11/17/2023']","['UAB', 'UTSA']","[2.0, 2.0]"
1570.0,237.0,Tramel Logan,South Fla.,651,2023-24,1,[10],['11/11/2023'],['Temple'],[2.0]
251.0,41.0,DJ Gordon IV,South Fla.,651,2023-24,3,"[2, 4, 11]","['09/09/2023', '09/23/2023', '11/17/2023']","['Florida A&M', 'Rice', 'UTSA']","[2.5, 2.0, 2.0]"
1570.0,237.0,Jaelen Stokes,South Fla.,651,2023-24,1,[8],['10/21/2023'],['UConn'],[2.5]
1570.0,237.0,Rashad Cheney,South Fla.,651,2023-24,1,[6],['10/07/2023'],['UAB'],[2.5]
1570.0,237.0,Jonathan Ross,South Fla.,651,2023-24,1,[2],['09/09/2023'],['Florida A&M'],[2.5]
622.0,93.0,Solomon Byrd,Southern California,657,2023-24,2,"[3, 4]","['09/09/2023', '09/23/2023']","['Stanford', 'Arizona St.']","[3.0, 3.0]"
251.0,41.0,Mason Cobb,Southern California,657,2023-24,3,"[1, 5, 9]","['08/26/2023', '09/30/2023', '10/28/2023']","['San Jose St.', 'Colorado', 'California']","[2.0, 2.0, 2.0]"
