Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Total Tackles
Tre Jenkins,San Jose St.,630,2023-24,1,[5],['09/22/2023'],['Air Force'],[13.0]
Bryun Parham,San Jose St.,630,2023-24,3,"[4, 5, 6]","['09/16/2023', '09/22/2023', '10/07/2023']","['Toledo', 'Air Force', 'Boise St.']","[11.0, 11.0, 12.0]"
Noah Lavulo,San Jose St.,630,2023-24,1,[5],['09/22/2023'],['Air Force'],[11.0]
Tre Smith,San Jose St.,630,2023-24,1,[12],['11/25/2023'],['UNLV'],[10.0]
Jordan Pollard,San Jose St.,630,2023-24,1,[12],['11/25/2023'],['UNLV'],[11.0]
Taniela Latu,San Jose St.,630,2023-24,1,[5],['09/22/2023'],['Air Force'],[13.0]
Quentin Wilfawn,South Alabama,646,2023-24,3,"[8, 9, 10]","['10/28/2023', '11/02/2023', '11/11/2023']","['Louisiana', 'Troy', 'Arkansas St.']","[15.0, 11.0, 10.0]"
Debo Williams,South Carolina,648,2023-24,4,"[7, 8, 9, 10]","['10/21/2023', '10/28/2023', '11/04/2023', '11/11/2023']","['Missouri', 'Texas A&M', 'Jacksonville St.', 'Vanderbilt']","[14.0, 11.0, 13.0, 11.0]"
DQ Smith,South Carolina,648,2023-24,1,[5],['09/30/2023'],['Tennessee'],[12.0]
Jalon Kilgore,South Carolina,648,2023-24,2,"[5, 6]","['09/30/2023', '10/14/2023']","['Tennessee', 'Florida']","[15.0, 11.0]"
Nick Emmanwori,South Carolina,648,2023-24,1,[9],['11/04/2023'],['Jacksonville St.'],[10.0]
Stone Blanton,South Carolina,648,2023-24,1,[1],['09/02/2023'],['North Carolina'],[10.0]
Bam Martin-Scott,South Carolina,648,2023-24,1,[12],['11/25/2023'],['Clemson'],[10.0]
Jhalyn Shuler,South Fla.,651,2023-24,1,[13],['12/21/2023'],['Syracuse'],[12.0]
DJ Gordon IV,South Fla.,651,2023-24,1,[7],['10/14/2023'],['Fla. Atlantic'],[10.0]
Jaelen Stokes,South Fla.,651,2023-24,1,[5],['09/30/2023'],['Navy'],[10.0]
Andrew Mata'afa,South Fla.,651,2023-24,1,[5],['09/30/2023'],['Navy'],[10.0]
Logan Berryhill,South Fla.,651,2023-24,1,[6],['10/07/2023'],['UAB'],[10.0]
Mason Cobb,Southern California,657,2023-24,1,[9],['10/28/2023'],['California'],[15.0]
Jaylin Smith,Southern California,657,2023-24,1,[13],['12/27/2023'],['Louisville'],[12.0]
Bryson Shaw,Southern California,657,2023-24,1,[9],['10/28/2023'],['California'],[10.0]
Shane Lee,Southern California,657,2023-24,1,[2],['09/02/2023'],['Nevada'],[10.0]
Ahmad Walker,SMU,663,2023-24,1,[2],['09/09/2023'],['Oklahoma'],[10.0]
